5772,15610,183
15622,15621,75
15627,15624,132
16547,16550,35
16549,16548,31
16551,16554,38
16195,16196,59
10516,16197,110
14883,14886,41
4675,14889,66
10524,10533,95
15314,15561,120
4560,4561,164
4571,4572,234
4570,4612,604
4569,4570,297
4569,16851,126
10590,10591,221
15728,17123,78
16058,17123,44
17128,5837,90
14917,14920,38
15667,15669,20
15687,10958,98
8885,15000,53
15056,15057,58
16208,13962,20
16210,6989,44
10486,10487,112
10501,10472,140
10502,10501,179
10452,10601,241
13115,10521,178
10518,10534,104
10517,10518,136
16260,16261,22
16261,16263,15
4551,16264,133
16264,4560,30
4553,16266,144
16266,16267,34
16272,16046,25
10967,16574,263
16570,16576,144
17584,17571,102
16474,16476,32
16888,10574,296
10594,10595,181
13139,4322,736
8444,8419,865
13359,13361,141
13361,13358,82
13360,13361,67
16924,16925,158
15718,16927,44
16927,98,39
16224,16929,62
16929,6997,151
13344,16937,258
16940,8751,35
10669,10670,243
10696,10662,293
14894,14893,14
14897,10225,108
16255,16256,74
5854,16257,8
16257,5859,112
6969,16206,69
15962,15380,24
15380,5565,53
4321,15391,222
15396,5532,260
7014,15277,28
15276,15277,93
17121,17120,28
11141,11142,253
11132,11088,128
10752,10753,50
4334,4536,367
4542,15514,302
4569,16851,126
16937,16936,41
16938,16950,35
16946,13345,258
10453,10454,329
195,17074,163
17074,192,31
10486,10487,112
10501,10472,140
10502,10501,179
10452,10601,241
16260,16261,22
16261,16263,15
4551,16264,133
16264,4560,30
4553,16266,144
16266,16267,34
16272,16046,25
16937,16936,41
16938,16950,35
16549,16552,607
10984,10985,990
11057,16569,41
17246,17163,130
10704,10699,105
10693,15650,292
10717,10664,8
11074,11078,31
11155,11156,34
11158,11156,90
15105,11160,136
15215,13363,554
15217,13364,555
11010,11014,137
11010,11009,617
17257,17256,318
11143,11144,210
10887,10893,39
15259,4435,110
4400,15260,120
15260,4401,169
5523,15263,175
10167,16793,30
16793,15899,45
16798,16796,97
6282,6244,20
14476,17549,33
17547,17549,80
16544,17146,172
15750,17148,102
16024,10713,98
5947,17250,1102
11057,16569,69
17026,17027,243
14660,17078,174
13232,17190,166
13491,17191,487
13370,17192,308
13763,8956,45
13501,13430,73
4693,13504,27
13504,4694,74
13506,5494,270
4459,13507,89
13507,4518,83
14760,4678,74
14764,14764,35
4575,13890,50
15951,15955,68
15123,15121,32
16302,16303,200
16580,17167,419
17167,16581,542
10831,17168,94
17167,17168,208
17020,17169,68
16857,17171,21
10713,17173,86
4435,15260,110
15260,4401,169
15263,15263,175
8897,13726,65
17284,13399,149
17285,13397,127
15120,15117,49
15128,15132,1004
14299,10700,602
16974,14135,18
16978,16976,58
16978,13146,89
6938,17141,43
13276,13270,58
13275,13276,106
16166,13277,901
13277,4339,999
15625,16084,48
15461,10893,197
10893,10891,191
15463,15465,46
15282,15078,73
5927,15284,105
15289,15290,53
15403,15402,44
15991,5644,43
15884,15886,68
15868,15866,51
15872,15873,71
15876,15879,69
10669,10670,243
10696,10662,293
13308,13309,640
11010,11009,617
11132,11088,128
13287,13285,32
15239,13436,2198
13308,13309,640
11016,11014,137
16920,16920,60
16921,6149,74
17584,17571,102
15718,16927,44
16927,98,39
16937,16950,35
13344,16937,258
16940,8751,35
10696,10662,293
14894,14893,14
16255,16256,74
5854,16257,8
16257,5859,112
6969,16206,69
15962,15380,24
15380,5565,53
4321,15391,222
15396,5532,260
7014,15277,28
15276,15277,93
17121,17120,28
11141,11142,253
11132,11088,128
10752,10753,50
4334,4536,367
4542,15514,302
4569,16851,126
16937,16936,41
16938,16950,35
16946,13345,258
10453,10454,329
195,17074,163
17074,192,31
10486,10487,112
10501,10472,140
10502,10501,179
10452,10601,241
16260,16261,22
16261,16263,15
4551,16264,133
16264,4560,30
4553,16266,144
16266,16267,34
16272,16046,25
16937,16936,41
16938,16950,35
16549,16552,607
10984,10985,990
11057,16569,41
17246,17163,130
10704,10699,105
10693,15650,292
10717,10664,8
11074,11078,31
11155,11156,34
11158,11156,90
15105,11160,136
15215,13363,554
15217,13364,555
11010,11014,137
11010,11009,617
17257,17256,318
11143,11144,210
10887,10893,39
15259,4435,110
4400,15260,120
15260,4401,169
5523,15263,175
10167,16793,30
16793,15899,45
16798,16796,97
6282,6244,20
14476,17549,33
17547,17549,80
16544,17146,172
15750,17148,102
16024,10713,98
5947,17250,1102
11057,16569,69
17026,17027,243
14660,17078,174
13232,17190,166
13491,17191,487
13370,17192,308
13763,8956,45
13501,13430,73
4693,13504,27
13504,4694,74
13506,5494,270
4459,13507,89
13507,4518,83
14760,4678,74
14764,14764,35
4575,13890,50
15951,15955,68
15123,15121,32
16302,16303,200
16580,17167,419
17167,16581,542
10831,17168,94
17167,17168,208
17020,17169,68
16857,17171,21
10713,17173,86
4435,15260,110
15260,4401,169
15263,15263,175
8897,13726,65
17284,13399,149
17285,13397,127
15120,15117,49
15128,15132,1004
14299,10700,602
16974,14135,18
16978,16976,58
16978,13146,89
6938,17141,43
13276,13270,58
13275,13276,106
16166,13277,901
13277,4339,999
15625,16084,48
15461,10893,197
10893,10891,191
15463,15465,46
15282,15078,73
5927,15284,105
15289,15290,53
15403,15402,44
15991,5644,43
15884,15886,68
15868,15866,51
15872,15873,71
15876,15879,69
